Lenguaje,Framework
`Java <https://www.java.com/es/>`_ :fa:`minus` `Kotlin <https://kotlinlang.org/>`_,`Spring Boot <https://spring.io/projects/spring-boot>`_
`PHP <https://www.php.net/manual/es/intro-whatis.php>`_,`Laravel <https://laravel.com/>`_
`JavaScript <https://developer.mozilla.org/es/docs/Web/JavaScript>`_ :fa:`minus` `TypeScript <https://github.com/sdelquin/dsw/blob/main/ut1>`_,`Express <https://expressjs.com/es/>`_ :fa:`minus` `Node.js <https://nodejs.org/es>`_,
`Ruby <https://www.ruby-lang.org/es/>`_,`Ruby on Rails <https://rubyonrails.org/>`_
`C# <https://learn.microsoft.com/es-es/dotnet/csharp/>`_,`ASP.NET <https://dotnet.microsoft.com/es-es/apps/aspnet>`_
`Go <https://go.dev/>`_,`Gin <https://gin-gonic.com/>`_
`Python <https://www.python.org/>`_,`Django <https://www.djangoproject.com/>`_
